code#name#location#population#area#income_med#income_med_m#income_med_f
616#Voitsberg#lat:47,05N;lon:15,15E#53250#678.6#2164#2467#1507
617#Weiz#lat:47,22N;lon:15,62E#86755#1070.48#2060#2456#1493
620#Murtal#lat:47,17N;lon:14,66E#47192#1675.49#2354#2755#1585
621#Bruck-Mürzzuschlag#lat:47,42N;lon:15,27E#102707#2154.8#2602#3132#1603
622#Hartberg-Fürstenfeld#lat:47,33N;lon:15,93E#89527#1223.03#1955#2386#1462
623#Südoststeiermark#lat:46,96N;lon:15,88E#91130##1880#2256#1489
701#Innsbruck-Stadt#lat:47,27N;lon:11,4E#115498#104.91#2207#2696#1767
702#Imst#lat:47,08N;lon:10,87E#54652#1724.82#2100#2420#1740
703#Innsbruck-Land#lat:47,2N;lon:11,33E#159835#1990.09#2156#2627#1674
704#Kitzbühel#lat:47,43N;lon:12,38E#60804#1163.28#2017#2312#1717
705#Kufstein#lat:47,5N;lon:12,03E#97089#969.9#2240#2696#1716
706#Landeck#lat:47,07N;lon:10,47E#44578#1594.82#2116#2350#1897
707#Lienz#lat:46,9N;lon:12,5E#50472#2019.87#2140#2558#1580
708#Reutte#lat:47,21N;lon:10,76E#31942#1236.82#2213#2728#1779
709#Schwaz#lat:47,27N;lon:11,77E#76913#1843.2#2169#2589#1781
801#Bludenz#lat:47,1N;lon:9,87E#61959#1287.52#2363#2743#1964
802#Bregenz#lat:47,45N;lon:9,92E#123902#863.34#2511#3114#1867
803#Dornbirn#lat:47,42N;lon:9,73E#78499#172.37#2316#2846#1731
804#Feldkirch#lat:47,37N;lon:9,67E#96467#278.26#2461#2981#1793
900#Wien#lat:48,25N;lon:16,42E#1714142#414.87#2392#2670#2089
